AREA	YEAR	AGE	Yearclass	FMOR	WECA	WEST	CANUM	STNUM	MATPROP	M
CELTIC_SEA	1971	1	1970	0.2183	0.908	0.662	725	4774	0	0.51
CELTIC_SEA	1971	2	1969	0.6839	2.193	1.709	461	1119	0.39	0.37
CELTIC_SEA	1971	3	1968	0.6335	4.831	4.444	557	1382	0.87	0.3
CELTIC_SEA	1971	4	1967	0.5485	7.464	7.321	96	260	0.93	0.27
CELTIC_SEA	1971	5	1966	0.3581	9.669	9.529	35	132	1	0.25
CELTIC_SEA	1971	6	1965	0.5182	11.784	11.605	17	47	1	0.23
CELTIC_SEA	1971	7	1964	NA	13.862	13.513	5	NA	1	0.22
CELTIC_SEA	1971	8	1963	NA	15.494	15.327	5	NA	1	NA
CELTIC_SEA	1971	9	1962	NA	16.195	15.744	1	NA	1	NA
CELTIC_SEA	1971	10	1961	NA	16.315	15.744	0	NA	1	NA
CELTIC_SEA	1972	1	1971	0.0056	0.908	0.662	4	929	0	0.51
CELTIC_SEA	1972	2	1970	0.5183	2.193	1.709	774	2300	0.39	0.37
CELTIC_SEA	1972	3	1969	0.3972	4.831	4.444	110	391	0.87	0.3
CELTIC_SEA	1972	4	1968	0.5681	7.464	7.321	205	541	0.93	0.27
CELTIC_SEA	1972	5	1967	0.5857	9.669	9.529	45	115	1	0.25
CELTIC_SEA	1972	6	1966	0.5219	11.784	11.605	26	72	1	0.23
CELTIC_SEA	1972	7	1965	NA	13.862	13.513	11	NA	1	0.22
CELTIC_SEA	1972	8	1964	NA	15.494	15.327	5	NA	1	NA
CELTIC_SEA	1972	9	1963	NA	16.195	15.744	1	NA	1	NA
CELTIC_SEA	1972	10	1962	NA	16.315	15.744	0	NA	1	NA
CELTIC_SEA	1973	1	1972	0.1656	0.908	0.662	332	2810	0	0.51
CELTIC_SEA	1973	2	1971	0.7318	2.193	1.709	239	554	0.39	0.37
CELTIC_SEA	1973	3	1970	0.5532	4.831	4.444	346	948	0.87	0.3
CELTIC_SEA	1973	4	1969	0.4373	7.464	7.321	60	194	0.93	0.27
CELTIC_SEA	1973	5	1968	0.4422	9.669	9.529	74	234	1	0.25
CELTIC_SEA	1973	6	1967	0.4819	11.784	11.605	17	50	1	0.23
CELTIC_SEA	1973	7	1966	NA	13.862	13.513	6	NA	1	0.22
CELTIC_SEA	1973	8	1965	NA	15.494	15.327	4	NA	1	NA
CELTIC_SEA	1973	9	1964	NA	16.195	15.744	1	NA	1	NA
CELTIC_SEA	1973	10	1963	NA	16.315	15.744	0	NA	1	NA
CELTIC_SEA	1974	1	1973	0.0015	0.908	0.662	1	888	0	0.51
CELTIC_SEA	1974	2	1972	0.209	2.193	1.709	224	1427	0.39	0.37
CELTIC_SEA	1974	3	1971	0.2912	4.831	4.444	40	184	0.87	0.3
CELTIC_SEA	1974	4	1970	0.4088	7.464	7.321	118	402	0.93	0.27
CELTIC_SEA	1974	5	1969	0.5971	9.669	9.529	38	96	1	0.25
CELTIC_SEA	1974	6	1968	0.4361	11.784	11.605	37	118	1	0.23
CELTIC_SEA	1974	7	1967	NA	13.862	13.513	18	NA	1	0.22
CELTIC_SEA	1974	8	1966	NA	15.494	15.327	4	NA	1	NA
CELTIC_SEA	1974	9	1965	NA	16.195	15.744	14	NA	1	NA
CELTIC_SEA	1974	10	1964	NA	16.315	15.744	0	NA	1	NA
CELTIC_SEA	1975	1	1974	0.1559	0.908	0.662	673	6021	0	0.51
CELTIC_SEA	1975	2	1973	0.3674	2.193	1.709	136	532	0.39	0.37
CELTIC_SEA	1975	3	1972	0.3129	4.831	4.444	185	802	0.87	0.3
CELTIC_SEA	1975	4	1971	1.1602	7.464	7.321	61	102	0.93	0.27
CELTIC_SEA	1975	5	1970	0.8714	9.669	9.529	105	204	1	0.25
CELTIC_SEA	1975	6	1969	0.7909	11.784	11.605	20	41	1	0.23
CELTIC_SEA	1975	7	1968	NA	13.862	13.513	20	NA	1	0.22
CELTIC_SEA	1975	8	1967	NA	15.494	15.327	12	NA	1	NA
CELTIC_SEA	1975	9	1966	NA	16.195	15.744	1	NA	1	NA
CELTIC_SEA	1975	10	1965	NA	16.315	15.744	0	NA	1	NA
CELTIC_SEA	1976	1	1975	0.0337	0.908	0.662	51	1986	0	0.51
CELTIC_SEA	1976	2	1974	0.8366	2.193	1.709	1456	3088	0.39	0.37
CELTIC_SEA	1976	3	1973	0.3267	4.831	4.444	61	255	0.87	0.3
CELTIC_SEA	1976	4	1972	0.3327	7.464	7.321	107	432	0.93	0.27
CELTIC_SEA	1976	5	1971	0.716	9.669	9.529	11	24	1	0.25
CELTIC_SEA	1976	6	1970	0.4625	11.784	11.605	22	67	1	0.23
CELTIC_SEA	1976	7	1969	NA	13.862	13.513	2	NA	1	0.22
CELTIC_SEA	1976	8	1968	NA	15.494	15.327	4	NA	1	NA
CELTIC_SEA	1976	9	1967	NA	16.195	15.744	1	NA	1	NA
CELTIC_SEA	1976	10	1966	NA	16.315	15.744	0	NA	1	NA
CELTIC_SEA	1977	1	1976	0.0113	0.908	0.662	25	2871	0	0.51
CELTIC_SEA	1977	2	1975	0.5702	2.193	1.709	416	1151	0.39	0.37
CELTIC_SEA	1977	3	1974	0.3521	4.831	4.444	236	926	0.87	0.3
CELTIC_SEA	1977	4	1973	0.1353	7.464	7.321	15	136	0.93	0.27
CELTIC_SEA	1977	5	1972	0.3376	9.669	9.529	60	237	1	0.25
CELTIC_SEA	1977	6	1971	0.2768	11.784	11.605	2	9	1	0.23
CELTIC_SEA	1977	7	1970	NA	13.862	13.513	2	NA	1	0.22
CELTIC_SEA	1977	8	1969	NA	15.494	15.327	5	NA	1	NA
CELTIC_SEA	1977	9	1968	NA	16.195	15.744	10	NA	1	NA
CELTIC_SEA	1977	10	1967	NA	16.315	15.744	0	NA	1	NA
CELTIC_SEA	1978	1	1977	0.0975	0.908	0.662	197	2738	0	0.51
CELTIC_SEA	1978	2	1976	0.4326	2.193	1.709	497	1701	0.39	0.37
CELTIC_SEA	1978	3	1975	0.4058	4.831	4.444	129	450	0.87	0.3
CELTIC_SEA	1978	4	1974	0.3234	7.464	7.321	116	480	0.93	0.27
CELTIC_SEA	1978	5	1973	0.2876	9.669	9.529	20	91	1	0.25
CELTIC_SEA	1978	6	1972	0.3415	11.784	11.605	34	132	1	0.23
CELTIC_SEA	1978	7	1971	NA	13.862	13.513	6	NA	1	0.22
CELTIC_SEA	1978	8	1970	NA	15.494	15.327	8	NA	1	NA
CELTIC_SEA	1978	9	1969	NA	16.195	15.744	4	NA	1	NA
CELTIC_SEA	1978	10	1968	NA	16.315	15.744	2	NA	1	NA
CELTIC_SEA	1979	1	1978	0.0894	0.908	0.662	438	6619	0	0.51
CELTIC_SEA	1979	2	1977	0.3401	2.193	1.709	357	1489	0.39	0.37
CELTIC_SEA	1979	3	1976	0.5122	4.831	4.444	263	764	0.87	0.3
CELTIC_SEA	1979	4	1975	0.4328	7.464	7.321	68	221	0.93	0.27
CELTIC_SEA	1979	5	1974	0.5853	9.669	9.529	104	266	1	0.25
CELTIC_SEA	1979	6	1973	0.5149	11.784	11.605	19	53	1	0.23
CELTIC_SEA	1979	7	1972	NA	13.862	13.513	24	NA	1	0.22
CELTIC_SEA	1979	8	1971	NA	15.494	15.327	5	NA	1	NA
CELTIC_SEA	1979	9	1970	NA	16.195	15.744	2	NA	1	NA
CELTIC_SEA	1979	10	1969	NA	16.315	15.744	1	NA	1	NA
CELTIC_SEA	1980	1	1979	0.0666	0.908	0.662	609	12215	0	0.51
CELTIC_SEA	1980	2	1978	0.5141	2.193	1.709	1213	3627	0.39	0.37
CELTIC_SEA	1980	3	1977	0.6024	4.831	4.444	285	733	0.87	0.3
CELTIC_SEA	1980	4	1976	0.8985	7.464	7.321	175	338	0.93	0.27
CELTIC_SEA	1980	5	1975	0.7681	9.669	9.529	52	110	1	0.25
CELTIC_SEA	1980	6	1974	0.7652	11.784	11.605	55	116	1	0.23
CELTIC_SEA	1980	7	1973	NA	13.862	13.513	14	NA	1	0.22
CELTIC_SEA	1980	8	1972	NA	15.494	15.327	0	NA	1	NA
CELTIC_SEA	1980	9	1971	NA	16.195	15.744	0	NA	1	NA
CELTIC_SEA	1980	10	1970	NA	16.315	15.744	0	NA	1	NA
CELTIC_SEA	1981	1	1980	0.0824	0.945	0.46	315	5145	0	0.51
CELTIC_SEA	1981	2	1979	0.78	1.549	1.549	3086	6849	0.39	0.37
CELTIC_SEA	1981	3	1978	0.991	4.385	2.284	811	1501	0.87	0.3
CELTIC_SEA	1981	4	1977	0.8938	7.565	7.806	153	296	0.93	0.27
CELTIC_SEA	1981	5	1976	0.5825	9.06	10.544	41	105	1	0.25
CELTIC_SEA	1981	6	1975	0.8325	12.75	11.439	20	40	1	0.23
CELTIC_SEA	1981	7	1974	NA	13.822	14.464	10	NA	1	0.22
CELTIC_SEA	1981	8	1973	NA	19.232	15.354	2	NA	1	NA
CELTIC_SEA	1981	9	1972	NA	19.232	15.354	0	NA	1	NA
CELTIC_SEA	1981	10	1971	NA	19.232	15.354	0	NA	1	NA
CELTIC_SEA	1982	1	1981	0.0475	0.945	0.704	76	2115	0	0.51
CELTIC_SEA	1982	2	1980	0.673	2.242	1.488	1157	2839	0.39	0.37
CELTIC_SEA	1982	3	1979	0.6457	4.474	3.876	888	2173	0.87	0.3
CELTIC_SEA	1982	4	1978	0.6351	7.797	7.407	169	411	0.93	0.27
CELTIC_SEA	1982	5	1977	0.5796	10.25	9.624	36	93	1	0.25
CELTIC_SEA	1982	6	1976	0.6267	12.465	12.316	19	46	1	0.23
CELTIC_SEA	1982	7	1975	NA	15.074	15.032	4	NA	1	0.22
CELTIC_SEA	1982	8	1974	NA	16.908	18.569	1	NA	1	NA
CELTIC_SEA	1982	9	1973	NA	18.538	18.569	0	NA	1	NA
CELTIC_SEA	1982	10	1972	NA	20.949	18.569	0	NA	1	NA
CELTIC_SEA	1983	1	1982	0.2743	0.979	0.446	1285	6918	0	0.51
CELTIC_SEA	1983	2	1981	0.7465	2.525	1.945	529	1209	0.39	0.37
CELTIC_SEA	1983	3	1980	0.9862	4.961	4.467	540	1003	0.87	0.3
CELTIC_SEA	1983	4	1979	0.8604	7.457	7.353	424	841	0.93	0.27
CELTIC_SEA	1983	5	1978	0.7406	9.965	9.752	77	167	1	0.25
CELTIC_SEA	1983	6	1977	0.8732	12.01	11.223	21	41	1	0.23
CELTIC_SEA	1983	7	1976	NA	14.767	15.908	5	NA	1	0.22
CELTIC_SEA	1983	8	1975	NA	17.643	18.089	5	NA	1	NA
CELTIC_SEA	1983	9	1974	NA	19.131	21.977	1	NA	1	NA
CELTIC_SEA	1983	10	1973	NA	19.131	21.977	0	NA	1	NA
CELTIC_SEA	1984	1	1983	0.1535	0.981	0.512	737	6690	0	0.51
CELTIC_SEA	1984	2	1982	0.619	2.645	1.951	1210	3151	0.39	0.37
CELTIC_SEA	1984	3	1981	0.4998	5.284	4.928	134	397	0.87	0.3
CELTIC_SEA	1984	4	1980	0.5144	7.828	7.433	97	276	0.93	0.27
CELTIC_SEA	1984	5	1979	0.4966	9.758	9.552	94	272	1	0.25
CELTIC_SEA	1984	6	1978	0.5083	11.672	12.18	22	62	1	0.23
CELTIC_SEA	1984	7	1977	NA	14.548	14.181	3	NA	1	0.22
CELTIC_SEA	1984	8	1976	NA	16.527	16.733	2	NA	1	NA
CELTIC_SEA	1984	9	1975	NA	16.527	16.733	0	NA	1	NA
CELTIC_SEA	1984	10	1974	NA	16.527	16.733	0	NA	1	NA
CELTIC_SEA	1985	1	1984	0.173	1.001	0.581	726	5904	0	0.51
CELTIC_SEA	1985	2	1983	0.5713	2.637	2.07	1245	3439	0.39	0.37
CELTIC_SEA	1985	3	1982	0.6179	5.521	5.333	465	1174	0.87	0.3
CELTIC_SEA	1985	4	1981	0.4993	8.082	8.376	61	178	0.93	0.27
