"","codNames","codNames_plot","max_ages","temp","mode_ageMG","mode_ageMP","sd_modeMG","sd_modeMP","cvs_modeMG","cvs_modeMP"
"1","Northsea","North Sea",10,8.4,5,6,2.2824764693119,2.13399085974703,0.456495293862381,0.355665143291171
"2","Coas","Coastal Norway",10,7.13,8,10,1.76665109335345,2.53093370978881,0.220831386669181,0.253093370978881
"3","W_Baltic","W Baltic Sea",11,7,5,8,2.28374408381181,2.28879720060953,0.456748816762362,0.286099650076191
"4","Faroe","Faroes",10,7.4,4,7,2.4411189577525,2.04596986525489,0.610279739438126,0.292281409322126
"5","NE_Arctic","NE Arctic",12,4,11,12,2.06242275046022,2.50757626360069,0.187492977314565,0.208964688633391
"6","Celtic","Celtic Sea",10,11.9,3,4,2.0067055692531,2.25428487728254,0.668901856417699,0.563571219320635
"7","Iceland","Iceland",14,5.8,10,11,2.42477543633276,2.39376675347882,0.242477543633276,0.217615159407165
"8","Kat","Kattegat",8,6.5,3,8,1.885390236665,2.4643986573674,0.628463412221666,0.308049832170925
"9","W_Scotland","W Scotland",7,9.57,3,7,1.58957652148481,2.204565351931,0.529858840494937,0.314937907418715
"10","NGulf","N Gulf",13,1,7,12,2.78792824672239,3.21748756762571,0.398275463817484,0.268123963968809
"11","GB","Georges Bank",10,8,3,7,1.81913851467911,2.15859814975679,0.606379504893036,0.30837116425097
"12","GM","Gulf of Maine",11,8,4,10,2.02781809909815,3.07773962300033,0.506954524774538,0.307773962300033
"13","cod3NO","3NO",12,1.75,8,12,2.14514973630931,3.03395927804238,0.268143717038664,0.252829939836865
"14","cod3M","3M",8,3.5,5,8,1.58821800196094,2.11734238550068,0.317643600392189,0.264667798187585
"15","cod2J3KL","2J3KL",17,0,7,16,3.65132789450568,5.00276511150545,0.521618270643669,0.312672819469091
"16","cod3Ps","3Ps",14,2.5,8,10,2.76682958048809,2.45247027725358,0.345853697561012,0.245247027725358
