"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.00294144909746962 0.0793869114957617 0.626790823054808 1.92153378326631 3.37928810922149 4.75056144717988 6.04294518949477 7.25108574303995 8.35861621825828 9.35419861334527
"2" 0.538374965332884 0 0 0 0 0 0 0 0 0
"3" 0 0.538374965332884 0 0 0 0 0 0 0 0
"4" 0 0 0.538374965332884 0 0 0 0 0 0 0
"5" 0 0 0 0.538374965332884 0 0 0 0 0 0
"6" 0 0 0 0 0.538374965332884 0 0 0 0 0
"7" 0 0 0 0 0 0.538374965332884 0 0 0 0
"8" 0 0 0 0 0 0 0.538374965332884 0 0 0
"9" 0 0 0 0 0 0 0 0.538374965332884 0 0
"10" 0 0 0 0 0 0 0 0 0.538374965332884 0
