"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" 8.62693082901099e-05 0.00232153365197712 0.025977818376666 0.189379593106384 0.88660870416786 2.31108540925022 3.75858539457683 4.91311767724535 5.88705762592451 6.75913593376577 7.55247799874146 8.2717951607461 8.91867065632058
"2" 0.780359943278034 0 0 0 0 0 0 0 0 0 0 0 0
"3" 0 0.780359943278034 0 0 0 0 0 0 0 0 0 0 0
"4" 0 0 0.780359943278034 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0.780359943278034 0 0 0 0 0 0 0 0 0
"6" 0 0 0 0 0.780359943278034 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0.780359943278034 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0.780359943278034 0 0 0 0 0 0
"9" 0 0 0 0 0 0 0 0.780359943278034 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0.780359943278034 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0.780359943278034 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0.780359943278034 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0.780359943278034 0
